Waktu,Kode_Warna,Jarak_DeltaE,L,a,b,Mode_Input2025-12-11 21:18:37,1825,13.49,176,71,178,Upload_File
2025-12-11 21:19:54,1825,13.49,176,71,178,Upload_File
2025-12-11 21:58:39,A92,16.40,148,192,137,Upload,A92_20251211_215839.jpg
2025-12-11 22:13:43,A92,25.55,133,193,141,Upload,A92_20251211_221343.jpg
2025-12-11 22:14:30,1830,13.75,193,120,204,Upload,1830_20251211_221430.jpg
2025-12-12 01:32:01,1879,17.03,114,82,164,Upload,1879_20251212_013201.jpg
2025-12-12 01:38:06,5217,37.12,126,114,104,Realtime,5217_20251212_013806.jpg
2025-12-12 01:38:15,5217,35.14,128,114,103,Realtime,5217_20251212_013815.jpg
2025-12-12 01:38:59,4284,17.89,100,185,155,Realtime,4284_20251212_013859.jpg
2025-12-12 02:24:38,978,8.06,224,128,132,Upload,978_20251212_022438.jpg
2025-12-12 11:02:14,5358,17.20,168,142,186,Realtime,5358_20251212_110214.jpg
2025-12-12 11:21:30,5217,10.63,153,114,106,Realtime,5217_20251212_112130.jpg
2025-12-12 11:21:59,5217,11.18,152,111,102,Realtime,5217_20251212_112159.jpg
2025-12-12 11:22:12,5217,7.14,156,110,105,Realtime,5217_20251212_112212.jpg
2025-12-12 11:22:17,5217,21.02,142,111,103,Realtime,5217_20251212_112217.jpg
2025-12-12 11:22:21,1826,35.24,195,141,127,Realtime,1826_20251212_112221.jpg
2025-12-12 11:22:24,5217,29.09,137,118,93,Realtime,5217_20251212_112224.jpg
2025-12-12 11:41:02,5217,25.10,138,112,102,Realtime,5217_20251212_114102.jpg
2025-12-12 11:41:13,5217,6.48,159,110,99,Realtime,5217_20251212_114113.jpg
2025-12-12 11:41:29,1819,25.50,157,133,126,Realtime,1819_20251212_114129.jpg
2025-12-12 11:42:10,1825,13.49,176,71,178,Upload,1825_20251212_114210.jpg
2025-12-18 20:41:12,4284,17.03,140,192,139,Upload,4284_20251218_204112.jpg
2025-12-18 20:43:58,5358,31.38,169,144,198,Upload,5358_20251218_204358.jpg
2025-12-18 20:44:59,5358,31.38,169,144,198,Upload,5358_20251218_204459.jpg
2025-12-18 20:58:31,5358,31.38,169,144,198,Upload,5358_20251218_205831.jpg
2025-12-18 21:04:02,5358,31.38,169,144,198,Upload,5358_20251218_210402.jpg
2025-12-19 10:58:16,5358,31.38,169,144,198,Upload,5358_20251219_105816.jpg
2025-12-19 11:35:33,5358,31.38,169,144,198,Upload,5358_20251219_113533.jpg
2025-12-19 11:35:37,5358,31.38,169,144,198,Upload,5358_20251219_113537.jpg
2025-12-19 11:37:13,5358,31.38,169,144,198,Upload,5358_20251219_113713.jpg
2025-12-19 11:37:15,5358,31.38,169,144,198,Upload,5358_20251219_113715.jpg
2025-12-19 11:42:28,5358,31.38,169,144,198,Upload,5358_20251219_114228.jpg
2025-12-19 11:45:05,5358,31.38,169,144,198,Upload,5358_20251219_114505.jpg
2025-12-19 11:52:00,5358,31.38,169,144,198,Upload,5358_20251219_115200.jpg
2025-12-19 11:56:05,1893,19.85,92,188,171,Upload,1893_20251219_115605.jpg
2025-12-19 12:22:54,1893,19.85,92,188,171,Upload,1893_20251219_122254.jpg
2025-12-19 12:24:26,1893,19.85,92,188,171,Upload,1893_20251219_122426.jpg
2025-12-22 23:18:45,5207,5.05,100,135,140,Realtime,5207_20251222_231845.jpg
